stratification,gt_type,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
region,household,gt_mean,2.2646718125,2.269825,0.306006620109153,0.309307425,1.7443205,2.762074,1.00201369399288,2237.72829683861,822.968327647243
region,household,gt_sd,1.807085904012,1.845865,0.748470720916594,0.788202051,0.4949534,2.998071,1.0063217181471,817.779694452818,1198.3177686017
region,household,voc_gt_mean_mod,1.2216117995,1.14463,0.260159910565222,0.183508815,0.9558883,1.8025525,1.00919914194233,589.935128799332,313.224554120584
region,household,voc_gt_sd_mod,1.11917299005,1.074005,0.627038187841528,0.670757892,0.2320322,2.1478505,1.00337146553337,1393.29078031312,882.394154505056
region,household,voc_gt_mean,2.75808659,2.63217,0.654234394187325,0.563135958,1.9163275,4.0432875,1.00464718938323,1198.3326637478,1034.98384732952
region,household,voc_gt_sd,2.130635955115,1.71571,1.64982883969248,1.561748601,0.22652175,5.635851,1.00705248165809,639.074313623767,476.88603736515
region,household,ta,1.33568829,1.33118,0.062098204535055,0.0595856940000001,1.241469,1.447237,1.00086647586091,1854.60600465136,1517.91166744686
region,household,sigma,0.00227917784682075,0.001885205,0.00177342146645277,0.0016987638213,0.00013828995,0.0058055615,1.00349872370038,1276.42421252123,746.614020544549
region,intrinsic,gt_mean,3.597418045,3.584055,0.642684440154834,0.658593159,2.5640835,4.6573225,1.00373318264472,2251.23545963828,2638.69197971454
region,intrinsic,gt_sd,2.447875084325,2.461765,0.86317987454556,0.871005261,0.9407665,3.838004,1.00394524460998,968.63394258405,458.599276872034
region,intrinsic,voc_gt_mean_mod,1.24739859125,1.172805,0.259429139589357,0.191522268,0.97400755,1.7901885,1.00294087144331,1021.33690923067,479.740320843753
region,intrinsic,voc_gt_sd_mod,1.100422840025,1.059765,0.585027499263111,0.6351562182,0.26189515,2.0816735,1.00304598607234,1339.25199203725,633.084884091115
region,intrinsic,voc_gt_mean,4.4872535825,4.297415,1.25738964463698,1.032126816,2.8787545,6.8100775,1.00339369860237,971.833685978459,500.699663616734
region,intrinsic,voc_gt_sd,2.8670008490275,2.398075,2.14161569765119,1.982888544,0.3819898,6.914455,1.00324239959122,979.270471987653,455.589016468813
region,intrinsic,ta,1.597935975,1.582015,0.151905151691366,0.145976796,1.3770355,1.8698365,1.00254706519252,1143.08189843651,545.902799670362
region,intrinsic,sigma,0.002273865474545,0.001919925,0.00171733380517185,0.0017201481024,0.00019400885,0.005587105,1.00021703703314,2796.39691384006,1910.68143849923
